BaseUrl,IsInStock,MPN,Model,PriceIncTax,QuantityAvailable,SKU,ShopSourceID,Title,Url
umart.com.au,false,MHQX3X/A,MHQX3X/A,"1,649.0",Null,59196,,Apple 11 inch iPad Pro - Apple M1 WiFi 512GB - Silver (MHQX3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-11-inch-iPad-Pro---Apple-M1-WiFi-512GB---Silver--MHQX3X-A_59196G.html
umart.com.au,false,MHR33X/A,MHR33X/A,"2,849.0",Null,59200,,Apple 11 inch iPad Pro - Apple M1 WiFi 2TB - Silver (MHR33X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-11-inch-iPad-Pro---Apple-M1-WiFi-2TB---Silver--MHR33X-A_59200G.html
umart.com.au,false,MHQR3X/A,MHQR3X/A,"1,199.0",Null,59191,,Apple 11 inch iPad Pro - Apple M1 WiFi 128GB - Space Grey (MHQR3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-11-inch-iPad-Pro---Apple-M1-WiFi-128GB---Space-Grey--MHQR3X-A_59191G.html
umart.com.au,false,MHNL3X/A,MHNL3X/A,"2,099.0",Null,59186,,Apple 12.9 inch iPad Pro - Apple M1 WiFi 512GB - Silver (MHNL3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-512GB---Silver--MHNL3X-A_59186G.html
umart.com.au,false,MHNQ3X/A,MHNQ3X/A,"3,299.0",Null,59190,,Apple 12.9 inch iPad Pro - Apple M1 WiFi 2TB - Silver (MHNQ3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-2TB---Silver--MHNQ3X-A_59190G.html
umart.com.au,false,MHNP3X/A,MHNP3X/A,"3,299.0",Null,59189,,Apple 12.9 inch iPad Pro - Apple M1 WiFi 2TB - Space Grey (MHNP3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-2TB---Space-Grey--MHNP3X-A_59189G.html
umart.com.au,false,MHNN3X/A,MHNN3X/A,"2,699.0",Null,59188,,Apple 12.9 inch iPad Pro - Apple M1 WiFi 1TB - Silver (MHNN3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-1TB---Silver--MHNN3X-A_59188G.html
umart.com.au,false,MHRC3X/A,MHRC3X/A,"2,949.0",Null,59208,,Apple 12.9 inch iPad Pro - Apple M1 WiFi + Cellular 1TB - Silver (MHRC3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-+-Cellular-1TB---Silver--MHRC3X-A_59208G.html
umart.com.au,false,MHRD3X/A,MHRD3X/A,"3,549.0",Null,59209,,Apple 12.9 inch iPad Pro - Apple M1 WiFi + Cellular 2TB - Space Grey (MHRD3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-+-Cellular-2TB---Space-Grey--MHRD3X-A_59209G.html
umart.com.au,false,MHNM3X/A,MHNM3X/A,"2,699.0",Null,59187,,Apple 12.9 inch iPad Pro - Apple M1 WiFi 1TB - Space Grey (MHNM3X/A),https://www.umart.com.au/https://www.umart.com.au/Apple-12-9-inch-iPad-Pro---Apple-M1-WiFi-1TB---Space-Grey--MHNM3X-A_59187G.html
